Campaign,Campaign type,Networks,Ad group,Keyword,Type,Final URL,Status,Comment
"EudTech Configurator ZH","Search","Google Search","configurator","Comino Grando 配置器","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=comino_grando_%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_exact","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","configurator","Comino Grando 配置器","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=comino_grando_%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_phrase","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","configurator","GPU 伺服器配置器","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_exact","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","configurator","GPU 伺服器配置器","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_phrase","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","configurator","GPU 伺服器報價","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%A0%B1%E5%83%B9&utm_content=zh_exact","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","configurator","GPU 伺服器報價","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%A0%B1%E5%83%B9&utm_content=zh_phrase","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","Comino Grando configurator","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=comino_grando_configurator&utm_content=en_exact","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","Comino Grando configurator","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=comino_grando_configurator&utm_content=en_phrase","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","GPU server configurator","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_server_configurator&utm_content=en_exact","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","GPU server configurator","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_server_configurator&utm_content=en_phrase","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","GPU server quote","Exact","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_server_quote&utm_content=en_exact","Paused","main configurator"
"EudTech Configurator EN","Search","Google Search","configurator","GPU server quote","Phrase","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_term=gpu_server_quote&utm_content=en_phrase","Paused","main configurator"
"EudTech Configurator ZH","Search","Google Search","solutions","配置器解決方案","Exact","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=%E9%85%8D%E7%BD%AE%E5%99%A8%E8%A7%A3%E6%B1%BA%E6%96%B9%E6%A1%88&utm_content=zh_exact","Paused","solution hub"
"EudTech Configurator ZH","Search","Google Search","solutions","配置器解決方案","Phrase","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=%E9%85%8D%E7%BD%AE%E5%99%A8%E8%A7%A3%E6%B1%BA%E6%96%B9%E6%A1%88&utm_content=zh_phrase","Paused","solution hub"
"EudTech Configurator ZH","Search","Google Search","solutions","GPU 伺服器報價指南","Exact","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%A0%B1%E5%83%B9%E6%8C%87%E5%8D%97&utm_content=zh_exact","Paused","solution hub"
"EudTech Configurator ZH","Search","Google Search","solutions","GPU 伺服器報價指南","Phrase","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=gpu_%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%A0%B1%E5%83%B9%E6%8C%87%E5%8D%97&utm_content=zh_phrase","Paused","solution hub"
"EudTech Configurator ZH","Search","Google Search","solutions","AI 伺服器配置器","Exact","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=ai_%E4%BC%BA%E6%9C%8D%E5%99%A8%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_exact","Paused","solution hub"
"EudTech Configurator ZH","Search","Google Search","solutions","AI 伺服器配置器","Phrase","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_term=ai_%E4%BC%BA%E6%9C%8D%E5%99%A8%E9%85%8D%E7%BD%AE%E5%99%A8&utm_content=zh_phrase","Paused","solution hub"
