date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:04	80619/80619	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202025%2012:49:34%20GMT	https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning	C:/My%20Web%20Sites/COMINO/www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning.html	(from )
00:58:04	127/127	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Jul%202025%2002:12:41%20GMT	https://www.grando.ai/robots.txt		(from )
00:58:05	299863/299863	---MCZ	200	added ('OK')	text/css	etag:W/%2293768f5f3e8b757ce138eb8fe25ba15b%22	https://cdn.prod.website-files.com/628295a883124981fd568435/css/grando-ai.webflow.shared.93768f5f3.min.css	C:/My%20Web%20Sites/COMINO/cdn.prod.website-files.com/628295a883124981fd568435/css/grando-ai.webflow.shared.93768f5f3.min.css	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:05	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/COMINO/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:05	5655/5655	---M--	200	added ('OK')	image/png	etag:%22571e26315467f11981cbac9aa5d252b5%22	https://cdn.prod.website-files.com/628295a883124981fd568435/628e9e71f098262b8b907df8_6277df06918df324778b4882_256.png	C:/My%20Web%20Sites/COMINO/cdn.prod.website-files.com/628295a883124981fd568435/628e9e71f098262b8b907df8_6277df06918df324778b4882_256.png	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:05	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Mon,%2007%20Jul%202025%2016:58:06%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/COMINO/www.google.com/recaptcha/api.js	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:06	72535/72535	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-11b57%22	https://code.jquery.com/jquery-3.6.1.slim.min.js	C:/My%20Web%20Sites/COMINO/code.jquery.com/jquery-3.6.1.slim.min.js	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:06	1681/1681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22691-nsW9ygnrEUkpEGcvy0hZTQTrY68%22	https://cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	C:/My%20Web%20Sites/COMINO/cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:07	129467/129467	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b0c6156656f38a94f6e242a2e6aadacf%22	https://cookiehub.net/c2/75a91e7d.js	C:/My%20Web%20Sites/COMINO/cookiehub.net/c2/75a91e7d.js	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2007%20Jul%202025%2016:58:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/COMINO/www.googletagmanager.com/gtm.85445.delayed	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
00:58:08	21041/21041	---M--	200	added ('OK')	image/png	etag:%2265eafc220fb9eedadf7ba69aba0c62a8%22	https://cdn.prod.website-files.com/628295a883124981fd568435/63dd331994de0e0afc29f236_Comino_Grando.png	C:/My%20Web%20Sites/COMINO/cdn.prod.website-files.com/628295a883124981fd568435/63dd331994de0e0afc29f236_Comino_Grando.png	(from https://www.grando.ai/en/choose-a-gpu-machine-for-ai-deep-learning)
