source,medium,campaign,content,audience,title_zh,title_en,landing_page,utm_url
"linkedin","organic","configurator_configurator","technical","技術團隊","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator&utm_content=technical"
"linkedin","organic","configurator_configurator","procurement","採購團隊","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator&utm_content=procurement"
"email","outreach","configurator_configurator","rfq_followup","詢價追蹤","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator&utm_content=rfq_followup"
"linkedin","organic","configurator_solutions","technical","技術團隊","配置器解決方案總覽","Configurator Solutions Hub","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_solutions&utm_content=technical"
"linkedin","organic","configurator_solutions","procurement","採購團隊","配置器解決方案總覽","Configurator Solutions Hub","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_solutions&utm_content=procurement"
"email","outreach","configurator_solutions","rfq_followup","詢價追蹤","配置器解決方案總覽","Configurator Solutions Hub","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_solutions&utm_content=rfq_followup"
"linkedin","organic","configurator_configurator_27","technical","技術團隊","INTEGRATION KIT 8x H200 配置器","INTEGRATION KIT 8x H200 Configurator","https://eudaemonia.tech/configurator/27/","https://eudaemonia.tech/configurator/27/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_27&utm_content=technical"
"linkedin","organic","configurator_configurator_27","procurement","採購團隊","INTEGRATION KIT 8x H200 配置器","INTEGRATION KIT 8x H200 Configurator","https://eudaemonia.tech/configurator/27/","https://eudaemonia.tech/configurator/27/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_27&utm_content=procurement"
"email","outreach","configurator_configurator_27","rfq_followup","詢價追蹤","INTEGRATION KIT 8x H200 配置器","INTEGRATION KIT 8x H200 Configurator","https://eudaemonia.tech/configurator/27/","https://eudaemonia.tech/configurator/27/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator_27&utm_content=rfq_followup"
"linkedin","organic","configurator_configurator_36","technical","技術團隊","INTEGRATION KIT 8x PRO 6000 配置器","INTEGRATION KIT 8x PRO 6000 Configurator","https://eudaemonia.tech/configurator/36/","https://eudaemonia.tech/configurator/36/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_36&utm_content=technical"
